state,count,probability
11111,1,0.0001286008230452675
11112,5,0.0006430041152263374
11113,5,0.0006430041152263374
11114,5,0.0006430041152263374
11115,5,0.0006430041152263374
11116,5,0.0006430041152263374
11122,10,0.001286008230452675
11123,20,0.00257201646090535
11124,20,0.00257201646090535
11125,20,0.00257201646090535
11126,20,0.00257201646090535
11133,10,0.001286008230452675
11134,20,0.00257201646090535
11135,20,0.00257201646090535
11136,20,0.00257201646090535
11144,10,0.001286008230452675
11145,20,0.00257201646090535
11146,20,0.00257201646090535
11155,10,0.001286008230452675
11156,20,0.00257201646090535
11166,10,0.001286008230452675
11222,10,0.001286008230452675
11223,30,0.0038580246913580245
11224,30,0.0038580246913580245
11225,30,0.0038580246913580245
11226,30,0.0038580246913580245
11233,30,0.0038580246913580245
11234,60,0.007716049382716049
11235,60,0.007716049382716049
11236,60,0.007716049382716049
11244,30,0.0038580246913580245
11245,60,0.007716049382716049
11246,60,0.007716049382716049
11255,30,0.0038580246913580245
11256,60,0.007716049382716049
11266,30,0.0038580246913580245
11333,10,0.001286008230452675
11334,30,0.0038580246913580245
11335,30,0.0038580246913580245
11336,30,0.0038580246913580245
11344,30,0.0038580246913580245
11345,60,0.007716049382716049
11346,60,0.007716049382716049
11355,30,0.0038580246913580245
11356,60,0.007716049382716049
11366,30,0.0038580246913580245
11444,10,0.001286008230452675
11445,30,0.0038580246913580245
11446,30,0.0038580246913580245
11455,30,0.0038580246913580245
11456,60,0.007716049382716049
11466,30,0.0038580246913580245
11555,10,0.001286008230452675
11556,30,0.0038580246913580245
11566,30,0.0038580246913580245
11666,10,0.001286008230452675
12222,5,0.0006430041152263374
12223,20,0.00257201646090535
12224,20,0.00257201646090535
12225,20,0.00257201646090535
12226,20,0.00257201646090535
12233,30,0.0038580246913580245
12234,60,0.007716049382716049
12235,60,0.007716049382716049
12236,60,0.007716049382716049
12244,30,0.0038580246913580245
12245,60,0.007716049382716049
12246,60,0.007716049382716049
12255,30,0.0038580246913580245
12256,60,0.007716049382716049
12266,30,0.0038580246913580245
12333,20,0.00257201646090535
12334,60,0.007716049382716049
12335,60,0.007716049382716049
12336,60,0.007716049382716049
12344,60,0.007716049382716049
12345,120,0.015432098765432098
12346,120,0.015432098765432098
12355,60,0.007716049382716049
12356,120,0.015432098765432098
12366,60,0.007716049382716049
12444,20,0.00257201646090535
12445,60,0.007716049382716049
12446,60,0.007716049382716049
12455,60,0.007716049382716049
12456,120,0.015432098765432098
12466,60,0.007716049382716049
12555,20,0.00257201646090535
12556,60,0.007716049382716049
12566,60,0.007716049382716049
12666,20,0.00257201646090535
13333,5,0.0006430041152263374
13334,20,0.00257201646090535
13335,20,0.00257201646090535
13336,20,0.00257201646090535
13344,30,0.0038580246913580245
13345,60,0.007716049382716049
13346,60,0.007716049382716049
13355,30,0.0038580246913580245
13356,60,0.007716049382716049
13366,30,0.0038580246913580245
13444,20,0.00257201646090535
13445,60,0.007716049382716049
13446,60,0.007716049382716049
13455,60,0.007716049382716049
13456,120,0.015432098765432098
13466,60,0.007716049382716049
13555,20,0.00257201646090535
13556,60,0.007716049382716049
13566,60,0.007716049382716049
13666,20,0.00257201646090535
14444,5,0.0006430041152263374
14445,20,0.00257201646090535
14446,20,0.00257201646090535
14455,30,0.0038580246913580245
14456,60,0.007716049382716049
14466,30,0.0038580246913580245
14555,20,0.00257201646090535
14556,60,0.007716049382716049
14566,60,0.007716049382716049
14666,20,0.00257201646090535
15555,5,0.0006430041152263374
15556,20,0.00257201646090535
15566,30,0.0038580246913580245
15666,20,0.00257201646090535
16666,5,0.0006430041152263374
22222,1,0.0001286008230452675
22223,5,0.0006430041152263374
22224,5,0.0006430041152263374
22225,5,0.0006430041152263374
22226,5,0.0006430041152263374
22233,10,0.001286008230452675
22234,20,0.00257201646090535
22235,20,0.00257201646090535
22236,20,0.00257201646090535
22244,10,0.001286008230452675
22245,20,0.00257201646090535
22246,20,0.00257201646090535
22255,10,0.001286008230452675
22256,20,0.00257201646090535
22266,10,0.001286008230452675
22333,10,0.001286008230452675
22334,30,0.0038580246913580245
22335,30,0.0038580246913580245
22336,30,0.0038580246913580245
22344,30,0.0038580246913580245
22345,60,0.007716049382716049
22346,60,0.007716049382716049
22355,30,0.0038580246913580245
22356,60,0.007716049382716049
22366,30,0.0038580246913580245
22444,10,0.001286008230452675
22445,30,0.0038580246913580245
22446,30,0.0038580246913580245
22455,30,0.0038580246913580245
22456,60,0.007716049382716049
22466,30,0.0038580246913580245
22555,10,0.001286008230452675
22556,30,0.0038580246913580245
22566,30,0.0038580246913580245
22666,10,0.001286008230452675
23333,5,0.0006430041152263374
23334,20,0.00257201646090535
23335,20,0.00257201646090535
23336,20,0.00257201646090535
23344,30,0.0038580246913580245
23345,60,0.007716049382716049
23346,60,0.007716049382716049
23355,30,0.0038580246913580245
23356,60,0.007716049382716049
23366,30,0.0038580246913580245
23444,20,0.00257201646090535
23445,60,0.007716049382716049
23446,60,0.007716049382716049
23455,60,0.007716049382716049
23456,120,0.015432098765432098
23466,60,0.007716049382716049
23555,20,0.00257201646090535
23556,60,0.007716049382716049
23566,60,0.007716049382716049
23666,20,0.00257201646090535
24444,5,0.0006430041152263374
24445,20,0.00257201646090535
24446,20,0.00257201646090535
24455,30,0.0038580246913580245
24456,60,0.007716049382716049
24466,30,0.0038580246913580245
24555,20,0.00257201646090535
24556,60,0.007716049382716049
24566,60,0.007716049382716049
24666,20,0.00257201646090535
25555,5,0.0006430041152263374
25556,20,0.00257201646090535
25566,30,0.0038580246913580245
25666,20,0.00257201646090535
26666,5,0.0006430041152263374
33333,1,0.0001286008230452675
33334,5,0.0006430041152263374
33335,5,0.0006430041152263374
33336,5,0.0006430041152263374
33344,10,0.001286008230452675
33345,20,0.00257201646090535
33346,20,0.00257201646090535
33355,10,0.001286008230452675
33356,20,0.00257201646090535
33366,10,0.001286008230452675
33444,10,0.001286008230452675
33445,30,0.0038580246913580245
33446,30,0.0038580246913580245
33455,30,0.0038580246913580245
33456,60,0.007716049382716049
33466,30,0.0038580246913580245
33555,10,0.001286008230452675
33556,30,0.0038580246913580245
33566,30,0.0038580246913580245
33666,10,0.001286008230452675
34444,5,0.0006430041152263374
34445,20,0.00257201646090535
34446,20,0.00257201646090535
34455,30,0.0038580246913580245
34456,60,0.007716049382716049
34466,30,0.0038580246913580245
34555,20,0.00257201646090535
34556,60,0.007716049382716049
34566,60,0.007716049382716049
34666,20,0.00257201646090535
35555,5,0.0006430041152263374
35556,20,0.00257201646090535
35566,30,0.0038580246913580245
35666,20,0.00257201646090535
36666,5,0.0006430041152263374
44444,1,0.0001286008230452675
44445,5,0.0006430041152263374
44446,5,0.0006430041152263374
44455,10,0.001286008230452675
44456,20,0.00257201646090535
44466,10,0.001286008230452675
44555,10,0.001286008230452675
44556,30,0.0038580246913580245
44566,30,0.0038580246913580245
44666,10,0.001286008230452675
45555,5,0.0006430041152263374
45556,20,0.00257201646090535
45566,30,0.0038580246913580245
45666,20,0.00257201646090535
46666,5,0.0006430041152263374
55555,1,0.0001286008230452675
55556,5,0.0006430041152263374
55566,10,0.001286008230452675
55666,10,0.001286008230452675
56666,5,0.0006430041152263374
66666,1,0.0001286008230452675
